ID,class1,class2,class3,class4,class5,class6,class7,class8,class9
926,0,0,0,0,0,1,0,0,0
930,0,0,0,0,0,0,1,0,0
953,1,0,0,0,0,0,0,0,0
959,1,0,0,0,0,0,0,0,0
961,0,0,0,0,0,0,1,0,0
975,0,1,0,0,0,0,0,0,0
977,0,0,0,0,0,0,1,0,0
988,0,1,0,0,0,0,0,0,0
996,1,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,1,0,0
1012,0,0,0,1,0,0,0,0,0
1034,0,0,0,0,0,0,0,0,1
1035,0,0,0,0,0,0,1,0,0
1114,0,0,0,1,0,0,0,0,0
1118,0,0,0,1,0,0,0,0,0
1121,1,0,0,0,0,0,0,0,0
1129,0,0,0,1,0,0,0,0,0
1138,0,0,0,0,1,0,0,0,0
1148,1,0,0,0,0,0,0,0,0
1162,1,0,0,0,0,0,0,0,0
1184,1,0,0,0,0,0,0,0,0
1189,0,0,0,1,0,0,0,0,0
1212,0,1,0,0,0,0,0,0,0
1227,0,1,0,0,0,0,0,0,0
1253,1,0,0,0,0,0,0,0,0
1263,0,0,0,0,0,0,1,0,0
1273,1,0,0,0,0,0,0,0,0
1280,0,0,0,0,1,0,0,0,0
1290,0,0,0,0,0,1,0,0,0
1291,0,0,0,0,0,0,1,0,0
1312,0,0,0,0,0,1,0,0,0
1314,0,0,0,0,0,1,0,0,0
1364,1,0,0,0,0,0,0,0,0
1368,0,0,0,0,0,0,1,0,0
1379,0,0,0,0,1,0,0,0,0
1395,0,1,0,0,0,0,0,0,0
1402,1,0,0,0,0,0,0,0,0
1445,0,0,0,1,0,0,0,0,0
1462,0,0,0,0,0,0,1,0,0
1496,0,0,0,0,0,0,1,0,0
1499,0,0,0,1,0,0,0,0,0
1511,1,0,0,0,0,0,0,0,0
1516,1,0,0,0,0,0,0,0,0
1524,0,0,0,1,0,0,0,0,0
1528,0,0,0,0,0,0,1,0,0
1529,1,0,0,0,0,0,0,0,0
1557,1,0,0,0,0,0,0,0,0
1560,0,1,0,0,0,0,0,0,0
1582,0,0,1,0,0,0,0,0,0
1609,0,0,0,0,0,0,1,0,0
1618,0,1,0,0,0,0,0,0,0
1623,0,1,0,0,0,0,0,0,0
1628,0,0,0,0,0,0,1,0,0
1630,0,0,0,1,0,0,0,0,0
1649,1,0,0,0,0,0,0,0,0
1652,0,0,0,1,0,0,0,0,0
1698,0,0,0,1,0,0,0,0,0
1722,0,0,0,0,0,0,1,0,0
1761,0,0,0,1,0,0,0,0,0
1800,0,0,0,0,0,0,1,0,0
1803,0,0,0,0,0,0,1,0,0
1816,0,0,0,0,0,0,1,0,0
1832,0,0,0,0,0,1,0,0,0
1840,0,0,1,0,0,0,0,0,0
1841,0,0,0,0,0,0,1,0,0
1843,0,0,0,0,0,0,1,0,0
1844,0,0,0,1,0,0,0,0,0
1865,0,0,0,1,0,0,0,0,0
1892,0,0,0,1,0,0,0,0,0
1901,0,1,0,0,0,0,0,0,0
1902,0,0,0,1,0,0,0,0,0
1906,1,0,0,0,0,0,0,0,0
1926,0,0,0,1,0,0,0,0,0
1955,1,0,0,0,0,0,0,0,0
1976,0,0,0,1,0,0,0,0,0
2041,1,0,0,0,0,0,0,0,0
2054,0,1,0,0,0,0,0,0,0
2058,0,0,0,1,0,0,0,0,0
2119,0,0,0,0,0,0,1,0,0
2128,0,0,0,0,0,0,1,0,0
2139,0,0,0,1,0,0,0,0,0
2141,0,0,0,0,0,0,1,0,0
2151,0,0,0,0,0,0,1,0,0
2154,0,0,0,0,0,0,1,0,0
2155,0,0,0,1,0,0,0,0,0
2180,1,0,0,0,0,0,0,0,0
2222,0,1,0,0,0,0,0,0,0
2230,0,0,0,0,0,0,1,0,0
2242,0,0,0,1,0,0,0,0,0
2244,1,0,0,0,0,0,0,0,0
2252,1,0,0,0,0,0,0,0,0
2253,0,0,0,0,0,0,1,0,0
2257,0,1,0,0,0,0,0,0,0
2258,0,0,0,0,0,0,1,0,0
2261,0,0,0,0,0,0,1,0,0
2281,0,0,0,0,0,0,1,0,0
2285,0,1,0,0,0,0,0,0,0
2290,0,1,0,0,0,0,0,0,0
2304,1,0,0,0,0,0,0,0,0
2326,0,0,0,1,0,0,0,0,0
2329,1,0,0,0,0,0,0,0,0
2356,1,0,0,0,0,0,0,0,0
2362,0,0,0,0,0,0,1,0,0
2364,0,0,0,0,0,0,1,0,0
2370,1,0,0,0,0,0,0,0,0
2383,0,0,0,0,1,0,0,0,0
2386,0,0,0,1,0,0,0,0,0
2408,0,0,0,1,0,0,0,0,0
2418,0,0,0,0,0,0,1,0,0
2425,0,1,0,0,0,0,0,0,0
2440,1,0,0,0,0,0,0,0,0
2444,0,1,0,0,0,0,0,0,0
2487,0,0,0,1,0,0,0,0,0
2496,0,0,0,0,0,1,0,0,0
2500,0,0,0,1,0,0,0,0,0
2505,0,0,0,0,0,0,1,0,0
2543,1,0,0,0,0,0,0,0,0
2550,1,0,0,0,0,0,0,0,0
2554,1,0,0,0,0,0,0,0,0
2593,1,0,0,0,0,0,0,0,0
2596,0,0,0,0,0,0,1,0,0
2604,0,0,0,0,0,0,1,0,0
2607,0,0,0,1,0,0,0,0,0
2612,0,0,0,0,1,0,0,0,0
2621,0,0,0,1,0,0,0,0,0
2632,1,0,0,0,0,0,0,0,0
2641,0,0,0,1,0,0,0,0,0
2648,0,1,0,0,0,0,0,0,0
2667,0,0,0,0,0,1,0,0,0
2686,0,0,0,0,0,0,1,0,0
2692,0,0,0,1,0,0,0,0,0
2693,0,0,0,0,1,0,0,0,0
2706,0,0,0,0,0,0,1,0,0
2723,0,0,1,0,0,0,0,0,0
2737,1,0,0,0,0,0,0,0,0
2740,0,0,0,0,0,0,1,0,0
2765,0,0,0,0,0,1,0,0,0
2771,0,1,0,0,0,0,0,0,0
2784,1,0,0,0,0,0,0,0,0
2792,0,0,0,0,0,0,0,1,0
2802,0,0,0,0,0,0,1,0,0
2839,0,0,0,0,0,0,1,0,0
2857,0,0,0,0,1,0,0,0,0
2862,0,0,0,0,0,0,1,0,0
2869,0,0,0,0,1,0,0,0,0
2912,0,0,0,0,1,0,0,0,0
2913,1,0,0,0,0,0,0,0,0
2968,1,0,0,0,0,0,0,0,0
2985,1,0,0,0,0,0,0,0,0
3002,0,0,0,0,0,0,1,0,0
3027,0,0,0,0,0,0,1,0,0
3041,0,1,0,0,0,0,0,0,0
3072,1,0,0,0,0,0,0,0,0
3109,1,0,0,0,0,0,0,0,0
3120,0,0,0,0,0,0,1,0,0
3126,1,0,0,0,0,0,0,0,0
3132,0,1,0,0,0,0,0,0,0
3136,1,0,0,0,0,0,0,0,0
3141,0,0,0,1,0,0,0,0,0
3166,0,0,0,0,0,0,0,0,1
3168,1,0,0,0,0,0,0,0,0
3176,0,1,0,0,0,0,0,0,0
3190,0,0,0,0,0,0,1,0,0
3196,0,0,0,0,0,0,1,0,0
3258,1,0,0,0,0,0,0,0,0
3276,0,1,0,0,0,0,0,0,0
3300,0,0,0,1,0,0,0,0,0
3313,1,0,0,0,0,0,0,0,0
3322,0,0,0,1,0,0,0,0,0
3323,0,0,0,0,0,0,1,0,0
3328,0,0,0,0,0,0,1,0,0
3330,1,0,0,0,0,0,0,0,0
3349,0,0,0,1,0,0,0,0,0
3351,0,0,0,0,0,0,0,1,0
3360,0,0,0,1,0,0,0,0,0
3380,0,0,0,0,1,0,0,0,0
3387,0,0,0,1,0,0,0,0,0
3389,0,0,0,1,0,0,0,0,0
3392,0,0,0,0,1,0,0,0,0
3403,1,0,0,0,0,0,0,0,0
3428,0,0,0,1,0,0,0,0,0
3464,1,0,0,0,0,0,0,0,0
3489,0,1,0,0,0,0,0,0,0
3499,0,0,0,0,0,0,1,0,0
3509,0,1,0,0,0,0,0,0,0
3516,0,0,0,1,0,0,0,0,0
3536,1,0,0,0,0,0,0,0,0
3538,0,0,0,0,0,1,0,0,0
3542,0,0,0,0,0,1,0,0,0
3545,0,0,0,0,1,0,0,0,0
3558,0,0,0,0,0,0,1,0,0
3574,0,0,0,0,0,0,1,0,0
3579,0,0,0,0,0,1,0,0,0
3580,0,1,0,0,0,0,0,0,0
3586,0,0,0,0,0,0,1,0,0
3606,0,0,0,0,0,0,0,0,1
3617,1,0,0,0,0,0,0,0,0
3654,1,0,0,0,0,0,0,0,0
3658,0,1,0,0,0,0,0,0,0
3673,0,0,0,0,0,1,0,0,0
3716,0,0,0,0,0,0,1,0,0
3728,0,0,0,0,0,0,1,0,0
3745,0,0,0,0,0,0,1,0,0
3752,1,0,0,0,0,0,0,0,0
3829,1,0,0,0,0,0,0,0,0
3832,1,0,0,0,0,0,0,0,0
3873,0,0,0,1,0,0,0,0,0
3889,0,0,0,0,1,0,0,0,0
3901,0,0,0,0,0,0,1,0,0
3907,0,0,0,0,0,0,1,0,0
3908,0,0,0,0,0,0,1,0,0
3957,0,1,0,0,0,0,0,0,0
3996,0,0,0,0,1,0,0,0,0
3997,0,0,0,0,0,0,1,0,0
4017,1,0,0,0,0,0,0,0,0
4020,0,0,0,0,0,1,0,0,0
4036,0,0,0,0,0,0,1,0,0
4061,1,0,0,0,0,0,0,0,0
4062,0,0,0,0,1,0,0,0,0
4070,0,0,0,0,1,0,0,0,0
4077,0,0,0,0,0,1,0,0,0
4078,0,0,0,0,0,0,1,0,0
4093,0,1,0,0,0,0,0,0,0
4099,1,0,0,0,0,0,0,0,0
4103,0,1,0,0,0,0,0,0,0
4123,0,0,0,1,0,0,0,0,0
4165,0,1,0,0,0,0,0,0,0
4199,0,0,0,0,0,0,1,0,0
4234,0,0,0,0,0,0,1,0,0
4255,0,0,0,1,0,0,0,0,0
4282,1,0,0,0,0,0,0,0,0
4298,0,0,0,0,1,0,0,0,0
4312,0,0,0,0,0,0,1,0,0
4323,0,1,0,0,0,0,0,0,0
4326,0,0,0,0,1,0,0,0,0
4331,0,0,0,0,0,1,0,0,0
4363,0,0,0,1,0,0,0,0,0
4382,0,0,0,0,1,0,0,0,0
4450,0,0,0,0,0,0,1,0,0
4471,0,0,0,0,1,0,0,0,0
4478,0,0,0,0,0,0,1,0,0
4501,0,0,0,0,0,0,1,0,0
4513,1,0,0,0,0,0,0,0,0
4520,0,0,0,0,0,0,1,0,0
4528,0,0,0,0,0,0,1,0,0
4556,0,0,0,0,1,0,0,0,0
4565,0,0,0,0,0,0,1,0,0
4589,0,0,1,0,0,0,0,0,0
4607,0,1,0,0,0,0,0,0,0
4609,1,0,0,0,0,0,0,0,0
4631,0,0,0,0,0,0,1,0,0
4636,0,0,0,0,0,1,0,0,0
4647,0,0,0,0,0,0,1,0,0
4655,0,0,0,0,0,0,1,0,0
4692,0,0,0,1,0,0,0,0,0
4710,1,0,0,0,0,0,0,0,0
4716,1,0,0,0,0,0,0,0,0
4722,1,0,0,0,0,0,0,0,0
4726,1,0,0,0,0,0,0,0,0
4763,1,0,0,0,0,0,0,0,0
4792,0,0,0,0,1,0,0,0,0
4805,1,0,0,0,0,0,0,0,0
4838,0,0,0,0,0,0,1,0,0
4839,1,0,0,0,0,0,0,0,0
4847,1,0,0,0,0,0,0,0,0
4856,1,0,0,0,0,0,0,0,0
4896,1,0,0,0,0,0,0,0,0
4903,0,1,0,0,0,0,0,0,0
4905,0,0,0,1,0,0,0,0,0
4934,1,0,0,0,0,0,0,0,0
4979,0,0,0,1,0,0,0,0,0
4984,0,0,0,1,0,0,0,0,0
4986,0,0,0,0,0,0,1,0,0
5003,0,1,0,0,0,0,0,0,0
5007,1,0,0,0,0,0,0,0,0
5008,1,0,0,0,0,0,0,0,0
5056,0,0,0,0,0,0,1,0,0
5065,0,1,0,0,0,0,0,0,0
5069,1,0,0,0,0,0,0,0,0
5084,1,0,0,0,0,0,0,0,0
5094,0,0,0,0,0,1,0,0,0
5102,0,0,0,0,0,0,1,0,0
5143,1,0,0,0,0,0,0,0,0
5147,0,0,0,0,0,1,0,0,0
5153,0,0,0,0,0,0,1,0,0
5178,0,0,0,1,0,0,0,0,0
5192,0,0,0,0,0,0,1,0,0
5199,0,0,0,0,0,0,1,0,0
5213,0,0,0,0,0,0,1,0,0
5219,0,0,0,1,0,0,0,0,0
5241,1,0,0,0,0,0,0,0,0
5266,0,0,0,0,0,0,1,0,0
5316,1,0,0,0,0,0,0,0,0
5341,1,0,0,0,0,0,0,0,0
5351,0,0,0,0,0,0,1,0,0
5405,1,0,0,0,0,0,0,0,0
5409,0,0,0,1,0,0,0,0,0
5426,0,0,0,0,0,0,1,0,0
5436,0,0,0,0,1,0,0,0,0
5437,0,1,0,0,0,0,0,0,0
5451,0,0,0,0,0,0,1,0,0
5464,0,0,0,0,0,0,1,0,0
5487,0,1,0,0,0,0,0,0,0
5500,0,0,0,0,0,0,1,0,0
5509,0,0,0,0,0,0,1,0,0
5515,1,0,0,0,0,0,0,0,0
5531,0,0,0,0,0,0,1,0,0
5564,0,0,0,1,0,0,0,0,0
5581,0,1,0,0,0,0,0,0,0
5600,0,0,0,1,0,0,0,0,0
5609,0,0,0,1,0,0,0,0,0
5626,0,0,0,0,0,1,0,0,0
5628,0,0,0,1,0,0,0,0,0
5650,1,0,0,0,0,0,0,0,0
